FULL NAME,BORN,AGE,BATTING STYLE,BOWLING STYLE,PLAYING ROLE,TEAMS PLAYED,RELATIONS,IMAGE LINK
Aarya Desai,"April 03, 2003, Surat, Gujarat",20y 297d,Left hand Bat,Right arm Offbreak,Opening Batter,"Gujarat, Kolkata Knight Riders",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Pappanayil Abdul Basith,"October 09, 1998, Ernakulam, Kerala",25y 108d,Right hand Bat,Right arm Offbreak,Allrounder,"Kerala, Rajasthan Royals",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Abdul Samad Farooq,"October 28, 2001, Kala Kot, Jammu & Kashmir",22y 89d,Right hand Bat,Legbreak,Batter,"Jammu & Kashmir, Sunrisers Hyderabad",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/339100/339145.png"
Abhijeet Saket,"August 03, 1995, Patna, Bihar",28y 175d,Right hand Bat,Right arm Medium,,Bihar,,https://wassets.hscicdn.com/static/images/player-jersey.svg
Kanwar Abhinay Singh,"June 16, 1991, Hamirpur, Himachal Pradesh",32y 223d,Right hand Bat,Right arm Fast medium,Bowler,Himachal Pradesh,,https://wassets.hscicdn.com/static/images/player-jersey.svg
Abhishek Goswami,"November 06, 1997, Delhi",26y 80d,Right hand Bat,Right arm Offbreak,Opening Batter,"India Under-19s, Uttar Pradesh, Uttar Pradesh Under-19s",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Abhishek Sharma,"September 04, 2000, Amritsar, Punjab",23y 143d,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Delhi Daredevils, India Under-19s, Punjab, Punjab Under-16s, Punjab Under-19s, Sunrisers Hyderabad",,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/358000/358037.png"
Abhishek Singh,"March 06, 2003",20y 325d,Right hand Bat,Right arm Offbreak,,Chandigarh,,https://wassets.hscicdn.com/static/images/player-jersey.svg
Abhishek Yadav,"June 08, 1995, Gorakhpur, Uttar Pradesh",28y 231d,Left hand Bat,,,"Odisha, Railways",,https://wassets.hscicdn.com/static/images/player-jersey.svg
Abid Mushtaq Mangnoo,"January 17, 1997, Doda, Jammu & Kashmir",27y 8d,Left hand Bat,Slow Left arm Orthodox,,Jammu & Kashmir,,https://wassets.hscicdn.com/static/images/player-jersey.svg
